序号,专项,报警编号,报警等级,现场工作人员核实-是否误报,综合研判-误报,研判备注,现场核实内容,报警状态,监测指标,设备标识码,设备名称,设施名称,报警生成时间,初次报警时间,初次报警值,报警阈值,当前报警值,报警核实时间,操作人员,报警处置时间,处置内容,操作人员.1,消警时间,消警内容,回复附件,初次报警时间.1,报警前10次推送值,推送时间10,报警前9次推送值,推送时间9,报警前8次推送值,推送时间8,报警前7次推送值,推送时间7,报警前6次推送值,推送时间6,报警前5次推送值,推送时间5,报警前4次推送值,推送时间4,报警前3次推送值,推送时间3,报警前2次推送值,推送时间2,报警前1次推送值,推送时间1,报警后1次推送值,推送时间2-1,报警后2次推送值,推送时间2-2,报警后3次推送值,推送时间2-3,报警后4次推送值,推送时间2-4,报警后5次推送值,推送时间2-5,报警后6次推送值,推送时间2-6,报警后7次推送值,推送时间2-7,报警后8次推送值,推送时间2-8,报警后9次推送值,推送时间2-9,报警后10次推送值,推送时间2-10
11,燃气爆炸,RQ012005161796461285378,3,否,非误报,泄露,充装台充装过程泄漏报警，隐患已处理,消警,RQ0101,SZS320000RQ202511174d1ede86,港城储配站可燃气体浓度,储配站,2025-12-28 14:20:01,2025-12-28 14:20:00,11.0,10.0,11.0,2025-12-28 14:33:11,qianxianfeng,2025-12-28 16:22:22,己处理,qianxianfeng,2025-12-28 16:23:34,己处理,"http://121.236.214.143:18081/prod-minio/urbanlifeline-file/image_1766903542895.jpg,http://121.236.214.143:18081/prod-minio/urbanlifeline-file/image_1766903585887.jpg",4.0,2025-12-28 14:19:38,0.0,2025-12-28 14:16:29,0.0,2025-12-28 14:06:28,0.0,2025-12-28 13:56:28,0.0,2025-12-28 13:51:12,0.0,2025-12-28 13:46:27,0.0,2025-12-28 13:36:27,0.0,2025-12-28 13:26:26,0.0,2025-12-28 13:16:26,0.0,2025-12-28 13:06:25,0.0,2025-12-28 14:26:29,0.0,2025-12-28 14:36:30,0.0,2025-12-28 14:46:30,0.0,2025-12-28 14:56:31,0.0,2025-12-28 15:06:32,0.0,2025-12-28 15:16:32,0.0,2025-12-28 15:26:33,0.0,2025-12-28 15:36:33,0.0,2025-12-28 15:46:34,0.0,2025-12-28 15:56:34,
12,燃气爆炸,320582_RQ011980453107800322050,2,否,误报,回填不一致，以文字图片为主,系统误报警，现场运行正常,消警,RQ0101,320582RQ0101GH0005,东莱门站(5)可燃气体报警器,[NULL],2025-12-26 16:25:20,2025-10-21 09:54:21,41.5,25.0,41.5,2025-10-21 10:35:12,张家港报警处置,2025-10-21 10:55:39,系统测试报,张家港报警处置,2025-12-26 16:25:21,系统测试,http://121.236.214.143:18081/prod-minio/urbanlifeline-file-zjg/tyh8eoHlEEGyC05I.jpg,0.0,2025-10-21 09:40:29,0.0,2025-10-21 09:38:25,0.0,2025-10-21 09:32:22,0.0,2025-10-21 09:26:22,0.0,2025-10-21 09:22:20,0.0,2025-10-21 09:16:21,0.0,2025-10-21 09:10:17,0.0,2025-10-21 09:04:16,0.0,2025-10-21 09:02:15,0.0,2025-10-21 08:56:13,0.0,2025-10-21 09:46:27,0.0,2025-10-21 09:52:28,0.0,2025-10-21 09:58:30,0.0,2025-10-21 10:04:32,0.0,2025-10-21 10:08:32,0.0,2025-10-21 10:14:34,0.0,2025-10-21 10:20:36,0.0,2025-10-21 10:22:37,0.0,2025-10-21 10:28:37,0.0,2025-10-21 10:34:39,
13,燃气爆炸,320582_RQ011963163889361256450,3,否,非误报,设备调试,管道日常放气检测导致报警,消警,RQ0101,320582RQ0101GH0002,东莱门站(2)可燃气体报警器,[NULL],2025-12-26 13:44:08,2025-09-03 16:46:55,0.079572,0.05,0.079572,2025-09-03 17:09:05,张家港报警处置,2025-09-03 17:09:59,日常放气监测，已核实处置,张家港报警处置,2025-12-26 13:44:10,日常放气监测,"http://121.236.214.143:18081/prod-minio/urbanlifeline-file-zjg/Hg0GYfHSv4gzMmkN.png,http://121.236.214.143:18081/prod-minio/urbanlifeline-file-zjg/3WxBEoHL2Njd3BFo.jpg",/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
14,燃气爆炸,RQ012004342703990657026,3,是,误报,,浓度数据波动，已派单现场查看,消警,RQ0101,318161773000,吴中尹西二村,管网,2025-12-26 08:05:14,2025-12-26 08:02:36,5.81819,5.0,5.81819,2025-12-26 08:38:42,[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],http://121.236.214.143:18081/prod-minio/urbanlifeline-file/1766709468854_1766709497754.jpg,4.8485,2025-12-26 07:32:37,4.8485,2025-12-26 07:02:38,4.8485,2025-12-26 06:32:39,3.87881,2025-12-26 06:02:40,3.87881,2025-12-26 05:32:41,3.87881,2025-12-26 05:02:41,3.87881,2025-12-26 04:32:42,3.87881,2025-12-26 04:00:43,3.87881,2025-12-26 03:30:44,3.87881,2025-12-26 03:00:45,4.8485,2025-12-26 08:34:35,3.87881,2025-12-26 09:04:35,2.90906,2025-12-26 09:34:34,2.90906,2025-12-26 10:06:33,2.90906,2025-12-26 10:36:32,2.90906,2025-12-26 11:06:31,2.90906,2025-12-26 11:36:30,2.90906,2025-12-26 12:08:29,1.93937,2025-12-26 12:38:28,1.93937,2025-12-26 13:08:28,
15,燃气爆炸,RQ012004086102817935362,3,是,误报,,误报,消警,RQ0101,HD76_247_A1,翠湖雅居2AS4G,管网,2025-12-25 15:05:36,2025-12-25 15:05:35,11.59,10.0,11.59,2025-12-25 15:08:49,[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],http://121.236.214.143:18081/prod-minio/urbanlifeline-file/mmexport1761287644413_1766646524140.jpg,0.0,2025-12-25 14:05:34,0.0,2025-12-25 13:05:34,0.0,2025-12-25 12:05:34,0.0,2025-12-25 11:05:34,/,/,/,/,/,/,/,/,/,/,/,/,0.0,2025-12-25 16:05:35,0.0,2025-12-25 17:05:35,0.0,2025-12-25 18:05:35,0.0,2025-12-25 19:05:34,0.0,2025-12-25 20:05:35,0.0,2025-12-25 21:05:35,0.0,2025-12-25 22:05:35,0.0,2025-12-25 23:05:35,0.0,2025-12-26 00:05:35,0.0,2025-12-26 01:05:35,
16,燃气爆炸,RQ012000462220756148226,2,是,误报,,误报,消警,RQ0101,HD76_671_A1,珑璟阁2AS4G,[NULL],2025-12-15 15:05:35,2025-12-15 15:05:33,21.96,20.0,21.96,2025-12-15 15:12:35,[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],http://121.236.214.143:18081/prod-minio/urbanlifeline-file/谢桥_1765782744967.jpg,0.0,2025-12-15 14:05:32,0.0,2025-12-15 13:05:32,0.0,2025-12-15 12:05:33,0.0,2025-12-15 11:05:33,0.0,2025-12-15 10:05:34,0.0,2025-12-15 09:05:37,0.0,2025-12-15 08:05:32,0.0,2025-12-15 07:05:39,0.0,2025-12-15 06:05:33,0.0,2025-12-15 05:05:31,0.0,2025-12-15 16:05:32,0.0,2025-12-15 17:05:49,0.0,2025-12-15 18:05:34,0.0,2025-12-15 19:05:31,0.0,2025-12-15 20:05:31,0.0,2025-12-15 21:05:32,0.0,2025-12-15 22:05:33,0.0,2025-12-15 23:05:31,0.0,2025-12-16 00:05:48,0.0,2025-12-16 01:05:32,
17,燃气爆炸,RQ012000447113779101697,2,是,误报,,误报,消警,RQ0101,HD76_420_A1,聚福佳苑二期2AS4G_无电,[NULL],2025-12-15 14:05:33,2025-12-15 14:05:31,40.28,20.0,40.28,2025-12-15 14:44:56,[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],http://121.236.214.143:18081/prod-minio/urbanlifeline-file/ae4207e176b6b29befb203b133fd110_1765781071121.jpg,0.0,2025-12-15 13:05:32,0.0,2025-12-15 12:05:33,0.0,2025-12-15 11:05:33,0.0,2025-12-15 10:05:34,0.0,2025-12-15 09:05:37,0.0,2025-12-15 08:05:32,0.0,2025-12-15 07:05:39,0.0,2025-12-15 06:05:33,0.0,2025-12-15 05:05:31,0.0,2025-12-15 04:05:32,0.0,2025-12-15 15:05:32,0.0,2025-12-15 16:05:32,0.0,2025-12-15 17:05:49,0.0,2025-12-15 18:05:34,0.0,2025-12-15 19:05:31,0.0,2025-12-15 20:05:31,0.0,2025-12-15 21:05:32,0.0,2025-12-15 22:05:33,0.0,2025-12-15 23:05:31,0.0,2025-12-16 00:05:48,
18,燃气爆炸,RQ012000386728300527619,3,是,误报,,误报,消警,RQ0101,HD76_401_A1,香澜华庭2AS4G,[NULL],2025-12-15 10:05:36,2025-12-15 10:05:34,18.1,10.0,18.1,2025-12-15 14:45:39,[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],http://121.236.214.143:18081/prod-minio/urbanlifeline-file/71d561630bb287b4daac6e9ceaa3005_1765781125762.jpg,0.0,2025-12-15 09:05:37,0.0,2025-12-15 08:05:32,0.0,2025-12-15 07:05:39,0.0,2025-12-15 06:05:33,0.0,2025-12-15 05:05:31,0.0,2025-12-15 04:05:32,0.0,2025-12-15 03:05:31,0.0,2025-12-15 02:05:32,0.0,2025-12-15 01:05:31,0.0,2025-12-15 00:05:33,0.0,2025-12-15 11:05:33,0.0,2025-12-15 12:05:33,0.0,2025-12-15 13:05:32,0.0,2025-12-15 14:05:31,0.0,2025-12-15 15:05:32,0.0,2025-12-15 16:05:32,0.0,2025-12-15 17:05:49,0.0,2025-12-15 18:05:33,0.0,2025-12-15 19:05:31,0.0,2025-12-15 20:05:31,
19,燃气爆炸,RQ011998227472377864193,2,是,误报,,误报警,消警,RQ0101,HD76_153_A1,梅李百合园2AS4G,[NULL],2025-12-09 11:05:29,2025-12-09 11:05:28,31.93,20.0,31.93,2025-12-09 11:56:23,[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],http://121.236.214.143:18081/prod-minio/urbanlifeline-file/846674465453a6c4cfb7573aada48d7_1765252540029.jpg,0.0,2025-12-09 10:05:28,0.0,2025-12-09 09:05:28,0.0,2025-12-09 08:05:30,0.0,2025-12-09 07:05:30,0.0,2025-12-09 06:05:31,0.0,2025-12-09 05:05:31,0.0,2025-12-09 04:05:30,0.0,2025-12-09 03:05:28,0.0,2025-12-09 02:05:29,0.0,2025-12-09 01:05:28,0.0,2025-12-09 12:05:28,0.0,2025-12-09 13:05:35,0.0,2025-12-09 14:05:29,0.0,2025-12-09 15:05:28,0.0,2025-12-09 16:05:29,0.0,2025-12-09 17:05:29,0.0,2025-12-09 18:05:28,0.0,2025-12-09 19:05:28,0.0,2025-12-09 20:05:29,0.0,2025-12-09 21:05:29,
20,燃气爆炸,RQ011996035656895303681,2,是,误报,,误报,消警,RQ0101,HXMZ-AT2,华兴门站燃气检测仪2,[NULL],2025-12-03 09:56:00,2025-12-03 09:55:59,45.5,20.0,45.5,2025-12-03 09:56:41,[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],http://121.236.214.143:18081/prod-minio/urbanlifeline-file/谢桥_1764726986066.jpg,0.0,2025-12-03 09:41:04,0.0,2025-12-03 08:55:43,0.0,2025-12-03 08:41:07,0.0,2025-12-03 07:55:49,0.0,2025-12-03 07:40:56,0.0,2025-12-03 06:55:48,0.0,2025-12-03 06:40:55,0.0,2025-12-03 05:55:55,0.0,2025-12-03 05:41:11,0.0,2025-12-03 04:56:10,0.0,2025-12-03 10:41:06,0.0,2025-12-03 10:55:54,0.0,2025-12-03 11:40:57,0.0,2025-12-03 11:56:01,0.0,2025-12-03 12:41:01,0.0,2025-12-03 12:55:52,0.0,2025-12-03 13:40:51,0.0,2025-12-03 13:55:59,0.0,2025-12-03 14:40:55,0.0,2025-12-03 14:55:48,
21,燃气爆炸,RQ011993455313327697921,3,是,误报,,误报,消警,RQ0101,DF-ARD320-15,可燃气体报警器,[NULL],2025-11-26 07:03:00,2025-11-26 07:02:38,1.0,0.0,1.0,2025-11-26 07:24:54,[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],http://121.236.214.143:18081/prod-minio/urbanlifeline-file/1211_1764113075552.jpg,1.0,2025-11-26 06:52:41,0.0,2025-11-26 06:42:44,0.0,2025-11-26 06:32:47,0.0,2025-11-26 06:22:50,0.0,2025-11-26 06:12:53,0.0,2025-11-26 06:02:56,0.0,2025-11-26 05:52:59,0.0,2025-11-26 05:43:02,0.0,2025-11-26 05:33:05,0.0,2025-11-26 05:23:08,1.0,2025-11-26 07:12:35,0.0,2025-11-26 07:22:32,0.0,2025-11-26 07:32:29,0.0,2025-11-26 07:42:26,0.0,2025-11-26 07:52:23,0.0,2025-11-26 08:02:20,0.0,2025-11-26 08:12:17,0.0,2025-11-26 08:22:14,0.0,2025-11-26 08:32:11,0.0,2025-11-26 08:42:08,
22,燃气爆炸,RQ011990647021647941634,3,是,误报,多次/连续报警，暂维持现场判断,误报,消警,RQ0101,LT-ARD320-18,可燃气体报警器,[NULL],2025-11-18 13:03:29,2025-11-18 13:03:29,2.0,0.0,2.0,2025-11-18 13:04:47,[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],http://121.236.214.143:18081/prod-minio/urbanlifeline-file/微信图片_20251118112733_745_90_1763442268803.jpg,2.0,2025-11-18 12:42:44,2.0,2025-11-18 12:32:44,2.0,2025-11-18 12:22:43,2.0,2025-11-18 12:12:43,2.0,2025-11-18 12:02:43,2.0,2025-11-18 11:52:43,2.0,2025-11-18 11:42:43,2.0,2025-11-18 11:32:43,2.0,2025-11-18 11:22:43,2.0,2025-11-18 11:12:43,0.0,2025-11-18 13:13:29,0.0,2025-11-18 13:23:29,0.0,2025-11-18 13:33:29,0.0,2025-11-18 13:43:29,0.0,2025-11-18 13:53:29,0.0,2025-11-18 14:03:29,0.0,2025-11-18 14:13:29,0.0,2025-11-18 14:23:29,0.0,2025-11-18 14:33:29,0.0,2025-11-18 14:43:29,
