"bsm","sbbsm","jczb","bjyz","pdgz","bjjb","sjlx","bz","create_by","create_time","update_by","update_time","delete_flag","zxlx","group_id","plzhbsm","order_num","yzsx","yzxx","max_threshold","min_threshold"
"1953469390095872003","1000000000000264831",RQ0101,80.000000,4,2,rq_sjlx_1,,783,2025-08-07 22:52:50.967,783,2025-08-07 22:52:50.967,1,1,1,"1953469390095872001",2,0.000,0.000,,
"1953469390343335939","1000000000000264831",RQ0101,20.000000,2,3,rq_sjlx_1,,783,2025-08-07 22:52:51.024,783,2025-08-07 22:52:51.024,1,1,1,"1953469390343335938",1,0.000,0.000,,
"1953469390343335940","1000000000000264831",RQ0101,50.000000,4,3,rq_sjlx_1,,783,2025-08-07 22:52:51.024,783,2025-08-07 22:52:51.024,1,1,1,"1953469390343335938",2,0.000,0.000,,
"1953469705524310018","1000000000000264833",RQ0101,80.000000,2,1,rq_sjlx_1,,783,2025-08-07 22:54:06.170,783,2025-08-07 22:54:06.170,1,1,1,"1953469705524310017",1,0.000,0.000,,
"1953469705759191042","1000000000000264833",RQ0101,50.000000,2,2,rq_sjlx_1,,783,2025-08-07 22:54:06.225,783,2025-08-07 22:54:06.225,1,1,1,"1953469705759191041",1,0.000,0.000,,
"1953469705759191043","1000000000000264833",RQ0101,80.000000,4,2,rq_sjlx_1,,783,2025-08-07 22:54:06.225,783,2025-08-07 22:54:06.225,1,1,1,"1953469705759191041",2,0.000,0.000,,
"1953469543187968003","1000000000000264832",RQ0101,80.000000,2,1,rq_sjlx_1,,783,2025-08-07 22:53:27.466,783,2025-08-07 22:53:27.466,1,1,1,"1953469543187968002",1,0.000,0.000,,
"1953469543427043331","1000000000000264832",RQ0101,50.000000,2,2,rq_sjlx_1,,783,2025-08-07 22:53:27.522,783,2025-08-07 22:53:27.522,1,1,1,"1953469543427043330",1,0.000,0.000,,
"1953469543427043332","1000000000000264832",RQ0101,80.000000,4,2,rq_sjlx_1,,783,2025-08-07 22:53:27.523,783,2025-08-07 22:53:27.523,1,1,1,"1953469543427043330",2,0.000,0.000,,
"1953469543661924355","1000000000000264832",RQ0101,20.000000,2,3,rq_sjlx_1,,783,2025-08-07 22:53:27.577,783,2025-08-07 22:53:27.577,1,1,1,"1953469543661924354",1,0.000,0.000,,
"1953469543661924356","1000000000000264832",RQ0101,50.000000,4,3,rq_sjlx_1,,783,2025-08-07 22:53:27.577,783,2025-08-07 22:53:27.577,1,1,1,"1953469543661924354",2,0.000,0.000,,
"1953470248313409539","1000000000000264837",RQ0101,50.000000,2,2,rq_sjlx_1,,783,2025-08-07 22:56:15.580,783,2025-08-07 22:56:15.580,1,1,1,"1953470248313409538",1,0.000,0.000,,
"1953468765958303746","1000000000000264828",RQ0101,80.000000,2,1,rq_sjlx_1,,783,2025-08-07 22:50:22.162,783,2025-08-07 22:50:22.162,1,1,1,"1953468765958303745",1,0.000,0.000,,
"1953468766268682242","1000000000000264828",RQ0101,50.000000,2,2,rq_sjlx_1,,783,2025-08-07 22:50:22.234,783,2025-08-07 22:50:22.234,1,1,1,"1953468766268682241",1,0.000,0.000,,
"1953468766268682243","1000000000000264828",RQ0101,80.000000,4,2,rq_sjlx_1,,783,2025-08-07 22:50:22.234,783,2025-08-07 22:50:22.234,1,1,1,"1953468766268682241",2,0.000,0.000,,
"1953469234482999298","1000000000000264830",RQ0101,80.000000,2,1,rq_sjlx_1,,783,2025-08-07 22:52:13.865,783,2025-08-07 22:52:13.865,1,1,1,"1953469234482999297",1,0.000,0.000,,
"1953469234726268930","1000000000000264830",RQ0101,50.000000,2,2,rq_sjlx_1,,783,2025-08-07 22:52:13.922,783,2025-08-07 22:52:13.922,1,1,1,"1953469234726268929",1,0.000,0.000,,
"1953469234726268931","1000000000000264830",RQ0101,80.000000,4,2,rq_sjlx_1,,783,2025-08-07 22:52:13.922,783,2025-08-07 22:52:13.922,1,1,1,"1953469234726268929",2,0.000,0.000,,
"1953469234956955650","1000000000000264830",RQ0101,20.000000,2,3,rq_sjlx_1,,783,2025-08-07 22:52:13.977,783,2025-08-07 22:52:13.977,1,1,1,"1953469234956955649",1,0.000,0.000,,
"1953469234956955651","1000000000000264830",RQ0101,50.000000,4,3,rq_sjlx_1,,783,2025-08-07 22:52:13.977,783,2025-08-07 22:52:13.977,1,1,1,"1953469234956955649",2,0.000,0.000,,
"1953469836441120772","1000000000000264834",RQ0101,80.000000,2,1,rq_sjlx_1,,783,2025-08-07 22:54:37.383,783,2025-08-07 22:54:37.383,1,1,1,"1953469836441120771",1,0.000,0.000,,
"1953469836743110659","1000000000000264834",RQ0101,50.000000,2,2,rq_sjlx_1,,783,2025-08-07 22:54:37.455,783,2025-08-07 22:54:37.455,1,1,1,"1953469836743110658",1,0.000,0.000,,
"1953469836743110660","1000000000000264834",RQ0101,80.000000,4,2,rq_sjlx_1,,783,2025-08-07 22:54:37.455,783,2025-08-07 22:54:37.455,1,1,1,"1953469836743110658",2,0.000,0.000,,
"1953469837036711939","1000000000000264834",RQ0101,20.000000,2,3,rq_sjlx_1,,783,2025-08-07 22:54:37.524,783,2025-08-07 22:54:37.524,1,1,1,"1953469837036711938",1,0.000,0.000,,
"1953469837036711940","1000000000000264834",RQ0101,50.000000,4,3,rq_sjlx_1,,783,2025-08-07 22:54:37.524,783,2025-08-07 22:54:37.524,1,1,1,"1953469837036711938",2,0.000,0.000,,
"1953469052760616962","1000000000000264829",RQ0101,80.000000,2,1,rq_sjlx_1,,783,2025-08-07 22:51:30.538,783,2025-08-07 22:51:30.538,1,1,1,"1953469052760616961",1,0.000,0.000,,
"1953469052995497986","1000000000000264829",RQ0101,50.000000,2,2,rq_sjlx_1,,783,2025-08-07 22:51:30.594,783,2025-08-07 22:51:30.594,1,1,1,"1953469052995497985",1,0.000,0.000,,
"1953469052995497987","1000000000000264829",RQ0101,80.000000,4,2,rq_sjlx_1,,783,2025-08-07 22:51:30.594,783,2025-08-07 22:51:30.594,1,1,1,"1953469052995497985",2,0.000,0.000,,
"1953469053221990403","1000000000000264829",RQ0101,20.000000,2,3,rq_sjlx_1,,783,2025-08-07 22:51:30.648,783,2025-08-07 22:51:30.648,1,1,1,"1953469053221990402",1,0.000,0.000,,
"1953469053221990404","1000000000000264829",RQ0101,50.000000,4,3,rq_sjlx_1,,783,2025-08-07 22:51:30.648,783,2025-08-07 22:51:30.648,1,1,1,"1953469053221990402",2,0.000,0.000,,
"1953471734967693314","1000000000000264869",RQ0101,80.000000,2,1,rq_sjlx_1,,783,2025-08-07 23:02:10.025,783,2025-08-07 23:02:10.025,1,1,1,"1953471734967693313",1,0.000,0.000,,
"1953471735286460418","1000000000000264869",RQ0101,50.000000,2,2,rq_sjlx_1,,783,2025-08-07 23:02:10.101,783,2025-08-07 23:02:10.101,1,1,1,"1953471735282266113",1,0.000,0.000,,
"1953471735286460419","1000000000000264869",RQ0101,80.000000,4,2,rq_sjlx_1,,783,2025-08-07 23:02:10.101,783,2025-08-07 23:02:10.101,1,1,1,"1953471735282266113",2,0.000,0.000,,
"1953471842631282690","1000000000000264870",RQ0101,80.000000,2,1,rq_sjlx_1,,783,2025-08-07 23:02:35.695,783,2025-08-07 23:02:35.695,1,1,1,"1953471842631282689",1,0.000,0.000,,
"1953471842861969410","1000000000000264870",RQ0101,50.000000,2,2,rq_sjlx_1,,783,2025-08-07 23:02:35.749,783,2025-08-07 23:02:35.749,1,1,1,"1953471842861969409",1,0.000,0.000,,
"1953471842861969411","1000000000000264870",RQ0101,80.000000,4,2,rq_sjlx_1,,783,2025-08-07 23:02:35.749,783,2025-08-07 23:02:35.749,1,1,1,"1953471842861969409",2,0.000,0.000,,
"1953471843088461826","1000000000000264870",RQ0101,20.000000,2,3,rq_sjlx_1,,783,2025-08-07 23:02:35.804,783,2025-08-07 23:02:35.804,1,1,1,"1953471843088461825",1,0.000,0.000,,
"1953469960428965890","1000000000000264835",RQ0101,50.000000,2,2,rq_sjlx_1,,783,2025-08-07 22:55:06.944,783,2025-08-07 22:55:06.944,1,1,1,"1953469960428965889",1,0.000,0.000,,
"1953469960428965891","1000000000000264835",RQ0101,80.000000,4,2,rq_sjlx_1,,783,2025-08-07 22:55:06.944,783,2025-08-07 22:55:06.944,1,1,1,"1953469960428965889",2,0.000,0.000,,
"1953470645052624898","1000000000000264840",RQ0101,80.000000,2,1,rq_sjlx_1,,783,2025-08-07 22:57:50.171,783,2025-08-07 22:57:50.171,1,1,1,"1953470645052624897",1,0.000,0.000,,
"1953470645321060355","1000000000000264840",RQ0101,50.000000,2,2,rq_sjlx_1,,783,2025-08-07 22:57:50.233,783,2025-08-07 22:57:50.233,1,1,1,"1953470645321060354",1,0.000,0.000,,
"1953470645321060356","1000000000000264840",RQ0101,80.000000,4,2,rq_sjlx_1,,783,2025-08-07 22:57:50.235,783,2025-08-07 22:57:50.235,1,1,1,"1953470645321060354",2,0.000,0.000,,
"1953470645547552771","1000000000000264840",RQ0101,20.000000,2,3,rq_sjlx_1,,783,2025-08-07 22:57:50.287,783,2025-08-07 22:57:50.287,1,1,1,"1953470645547552770",1,0.000,0.000,,
"1953470645547552772","1000000000000264840",RQ0101,50.000000,4,3,rq_sjlx_1,,783,2025-08-07 22:57:50.287,783,2025-08-07 22:57:50.287,1,1,1,"1953470645547552770",2,0.000,0.000,,
"1953471951439908866","1000000000000264871",RQ0101,20.000000,2,3,rq_sjlx_1,,783,2025-08-07 23:03:01.659,783,2025-08-07 23:03:01.659,1,1,1,"1953471951439908865",1,0.000,0.000,,
"1953471951439908867","1000000000000264871",RQ0101,50.000000,4,3,rq_sjlx_1,,783,2025-08-07 23:03:01.659,783,2025-08-07 23:03:01.659,1,1,1,"1953471951439908865",2,0.000,0.000,,
"1953470753198559235","1000000000000264841",RQ0101,20.000000,2,3,rq_sjlx_1,,783,2025-08-07 22:58:15.987,783,2025-08-07 22:58:15.987,1,1,1,"1953470753198559234",1,0.000,0.000,,
"1953470753198559236","1000000000000264841",RQ0101,50.000000,4,3,rq_sjlx_1,,783,2025-08-07 22:58:15.988,783,2025-08-07 22:58:15.988,1,1,1,"1953470753198559234",2,0.000,0.000,,
"1953471950248726531","1000000000000264871",RQ0101,80.000000,2,1,rq_sjlx_1,,783,2025-08-07 23:03:01.353,783,2025-08-07 23:03:01.353,1,1,1,"1953471950248726530",1,0.000,0.000,,
"1953469705989877763","1000000000000264833",RQ0101,20.000000,2,3,rq_sjlx_1,,783,2025-08-07 22:54:06.280,783,2025-08-07 22:54:06.280,1,1,1,"1953469705989877762",1,0.000,0.000,,
"1953469705989877764","1000000000000264833",RQ0101,50.000000,4,3,rq_sjlx_1,,783,2025-08-07 22:54:06.280,783,2025-08-07 22:54:06.280,1,1,1,"1953469705989877762",2,0.000,0.000,,
"1953469960709984258","1000000000000264835",RQ0101,20.000000,2,3,rq_sjlx_1,,783,2025-08-07 22:55:07.010,783,2025-08-07 22:55:07.010,1,1,1,"1953469960709984257",1,0.000,0.000,,
"1953469960709984259","1000000000000264835",RQ0101,50.000000,4,3,rq_sjlx_1,,783,2025-08-07 22:55:07.010,783,2025-08-07 22:55:07.010,1,1,1,"1953469960709984257",2,0.000,0.000,,
"1953470504606355458","1000000000000264839",RQ0101,20.000000,2,3,rq_sjlx_1,,783,2025-08-07 22:57:16.684,783,2025-08-07 22:57:16.684,1,1,1,"1953470504606355457",1,0.000,0.000,,
"1953470504606355459","1000000000000264839",RQ0101,50.000000,4,3,rq_sjlx_1,,783,2025-08-07 22:57:16.684,783,2025-08-07 22:57:16.684,1,1,1,"1953470504606355457",2,0.000,0.000,,
"1953471302744633347","1000000000000264866",RQ0101,80.000000,2,1,rq_sjlx_1,,783,2025-08-07 23:00:26.976,783,2025-08-07 23:00:26.976,1,1,1,"1953471302744633346",1,0.000,0.000,,
"1953471302971125762","1000000000000264866",RQ0101,50.000000,2,2,rq_sjlx_1,,783,2025-08-07 23:00:27.030,783,2025-08-07 23:00:27.030,1,1,1,"1953471302971125761",1,0.000,0.000,,
"1953471302971125763","1000000000000264866",RQ0101,80.000000,4,2,rq_sjlx_1,,783,2025-08-07 23:00:27.030,783,2025-08-07 23:00:27.030,1,1,1,"1953471302971125761",2,0.000,0.000,,
"1953471303193423874","1000000000000264866",RQ0101,20.000000,2,3,rq_sjlx_1,,783,2025-08-07 23:00:27.083,783,2025-08-07 23:00:27.083,1,1,1,"1953471303193423873",1,0.000,0.000,,
"1953471303193423875","1000000000000264866",RQ0101,50.000000,4,3,rq_sjlx_1,,783,2025-08-07 23:00:27.084,783,2025-08-07 23:00:27.084,1,1,1,"1953471303193423873",2,0.000,0.000,,
"1953470247583600643","1000000000000264837",RQ0101,80.000000,2,1,rq_sjlx_1,,783,2025-08-07 22:56:15.409,783,2025-08-07 22:56:15.409,1,1,1,"1953470247583600642",1,0.000,0.000,,
"1953470504077873155","1000000000000264839",RQ0101,80.000000,2,1,rq_sjlx_1,,783,2025-08-07 22:57:16.562,783,2025-08-07 22:57:16.562,1,1,1,"1953470504077873154",1,0.000,0.000,,
"1953470504333725698","1000000000000264839",RQ0101,50.000000,2,2,rq_sjlx_1,,783,2025-08-07 22:57:16.620,783,2025-08-07 22:57:16.620,1,1,1,"1953470504333725697",1,0.000,0.000,,
"1953470504333725699","1000000000000264839",RQ0101,80.000000,4,2,rq_sjlx_1,,783,2025-08-07 22:57:16.620,783,2025-08-07 22:57:16.620,1,1,1,"1953470504333725697",2,0.000,0.000,,
"1953470752741380098","1000000000000264841",RQ0101,80.000000,2,1,rq_sjlx_1,,783,2025-08-07 22:58:15.846,783,2025-08-07 22:58:15.846,1,1,1,"1953470752741380097",1,0.000,0.000,,
"1953470752963678211","1000000000000264841",RQ0101,50.000000,2,2,rq_sjlx_1,,783,2025-08-07 22:58:15.898,783,2025-08-07 22:58:15.898,1,1,1,"1953470752963678210",1,0.000,0.000,,
"1953470752963678212","1000000000000264841",RQ0101,80.000000,4,2,rq_sjlx_1,,783,2025-08-07 22:58:15.898,783,2025-08-07 22:58:15.898,1,1,1,"1953470752963678210",2,0.000,0.000,,
"1953472056230400002","1000000000000264872",RQ0101,80.000000,2,1,rq_sjlx_1,,783,2025-08-07 23:03:26.621,783,2025-08-07 23:03:26.621,1,1,1,"1953472056230400001",1,0.000,0.000,,
"1953472056456892419","1000000000000264872",RQ0101,50.000000,2,2,rq_sjlx_1,,783,2025-08-07 23:03:26.674,783,2025-08-07 23:03:26.674,1,1,1,"1953472056456892418",1,0.000,0.000,,
"1953472056456892420","1000000000000264872",RQ0101,80.000000,4,2,rq_sjlx_1,,783,2025-08-07 23:03:26.674,783,2025-08-07 23:03:26.674,1,1,1,"1953472056456892418",2,0.000,0.000,,
"1953472056679190531","1000000000000264872",RQ0101,20.000000,2,3,rq_sjlx_1,,783,2025-08-07 23:03:26.727,783,2025-08-07 23:03:26.727,1,1,1,"1953472056679190530",1,0.000,0.000,,
"1953472056679190532","1000000000000264872",RQ0101,50.000000,4,3,rq_sjlx_1,,783,2025-08-07 23:03:26.727,783,2025-08-07 23:03:26.727,1,1,1,"1953472056679190530",2,0.000,0.000,,
"1953471549889802242","1000000000000264868",RQ0101,50.000000,2,2,rq_sjlx_1,,783,2025-08-07 23:01:25.900,783,2025-08-07 23:01:25.900,1,1,1,"1953471549889802241",1,0.000,0.000,,
"1953471549889802243","1000000000000264868",RQ0101,80.000000,4,2,rq_sjlx_1,,783,2025-08-07 23:01:25.901,783,2025-08-07 23:01:25.901,1,1,1,"1953471549889802241",2,0.000,0.000,,
"1953471550133071875","1000000000000264868",RQ0101,20.000000,2,3,rq_sjlx_1,,783,2025-08-07 23:01:25.958,783,2025-08-07 23:01:25.958,1,1,1,"1953471550133071874",1,0.000,0.000,,
"1953471550133071876","1000000000000264868",RQ0101,50.000000,4,3,rq_sjlx_1,,783,2025-08-07 23:01:25.958,783,2025-08-07 23:01:25.958,1,1,1,"1953471550133071874",2,0.000,0.000,,
"1953470096383135746","1000000000000264836",RQ0101,80.000000,2,1,rq_sjlx_1,,783,2025-08-07 22:55:39.359,783,2025-08-07 22:55:39.359,1,1,1,"1953470096383135745",1,0.000,0.000,,
"1953470096630599682","1000000000000264836",RQ0101,50.000000,2,2,rq_sjlx_1,,783,2025-08-07 22:55:39.415,783,2025-08-07 22:55:39.415,1,1,1,"1953470096626405378",1,0.000,0.000,,
"1953470096630599683","1000000000000264836",RQ0101,80.000000,4,2,rq_sjlx_1,,783,2025-08-07 22:55:39.415,783,2025-08-07 22:55:39.415,1,1,1,"1953470096626405378",2,0.000,0.000,,
"1953470096857092099","1000000000000264836",RQ0101,20.000000,2,3,rq_sjlx_1,,783,2025-08-07 22:55:39.470,783,2025-08-07 22:55:39.470,1,1,1,"1953470096857092098",1,0.000,0.000,,
"1953470096857092100","1000000000000264836",RQ0101,50.000000,4,3,rq_sjlx_1,,783,2025-08-07 22:55:39.470,783,2025-08-07 22:55:39.470,1,1,1,"1953470096857092098",2,0.000,0.000,,
"1953471409057656834","1000000000000264867",RQ0101,80.000000,2,1,rq_sjlx_1,,783,2025-08-07 23:00:52.324,783,2025-08-07 23:00:52.324,1,1,1,"1953471409057656833",1,0.000,0.000,,
"1953471409334480898","1000000000000264867",RQ0101,50.000000,2,2,rq_sjlx_1,,783,2025-08-07 23:00:52.389,783,2025-08-07 23:00:52.389,1,1,1,"1953471409330286593",1,0.000,0.000,,
"1953471409334480899","1000000000000264867",RQ0101,80.000000,4,2,rq_sjlx_1,,783,2025-08-07 23:00:52.389,783,2025-08-07 23:00:52.389,1,1,1,"1953471409330286593",2,0.000,0.000,,
"1953471409565167618","1000000000000264867",RQ0101,20.000000,2,3,rq_sjlx_1,,783,2025-08-07 23:00:52.444,783,2025-08-07 23:00:52.444,1,1,1,"1953471409565167617",1,0.000,0.000,,
"1953471409565167619","1000000000000264867",RQ0101,50.000000,4,3,rq_sjlx_1,,783,2025-08-07 23:00:52.444,783,2025-08-07 23:00:52.444,1,1,1,"1953471409565167617",2,0.000,0.000,,
"1953470248313409540","1000000000000264837",RQ0101,80.000000,4,2,rq_sjlx_1,,783,2025-08-07 22:56:15.580,783,2025-08-07 22:56:15.580,1,1,1,"1953470248313409538",2,0.000,0.000,,
"1953470248569262082","1000000000000264837",RQ0101,20.000000,2,3,rq_sjlx_1,,783,2025-08-07 22:56:15.641,783,2025-08-07 22:56:15.641,1,1,1,"1953470248569262081",1,0.000,0.000,,
"1953470248569262083","1000000000000264837",RQ0101,50.000000,4,3,rq_sjlx_1,,783,2025-08-07 22:56:15.641,783,2025-08-07 22:56:15.641,1,1,1,"1953470248569262081",2,0.000,0.000,,
"1953471034321760258","1000000000000264843",RQ0101,80.000000,2,1,rq_sjlx_1,,783,2025-08-07 22:59:22.979,783,2025-08-07 22:59:22.979,1,1,1,"1953471034321760257",1,0.000,0.000,,
"1953471549642338306","1000000000000264868",RQ0101,80.000000,2,1,rq_sjlx_1,,783,2025-08-07 23:01:25.841,783,2025-08-07 23:01:25.841,1,1,1,"1953471549642338305",1,0.000,0.000,,
"1953470370531233794","1000000000000264838",RQ0101,80.000000,2,1,rq_sjlx_1,,783,2025-08-07 22:56:44.719,783,2025-08-07 22:56:44.719,1,1,1,"1953470370531233793",1,0.000,0.000,,
"1953470370761920514","1000000000000264838",RQ0101,50.000000,2,2,rq_sjlx_1,,783,2025-08-07 22:56:44.774,783,2025-08-07 22:56:44.774,1,1,1,"1953470370761920513",1,0.000,0.000,,
"1953470370761920515","1000000000000264838",RQ0101,80.000000,4,2,rq_sjlx_1,,783,2025-08-07 22:56:44.774,783,2025-08-07 22:56:44.774,1,1,1,"1953470370761920513",2,0.000,0.000,,
"1953470370988412930","1000000000000264838",RQ0101,20.000000,2,3,rq_sjlx_1,,783,2025-08-07 22:56:44.828,783,2025-08-07 22:56:44.828,1,1,1,"1953470370988412929",1,0.000,0.000,,
"1953470370988412931","1000000000000264838",RQ0101,50.000000,4,3,rq_sjlx_1,,783,2025-08-07 22:56:44.828,783,2025-08-07 22:56:44.828,1,1,1,"1953470370988412929",2,0.000,0.000,,
"1953471950890455042","1000000000000264871",RQ0101,50.000000,2,2,rq_sjlx_1,,783,2025-08-07 23:03:01.507,783,2025-08-07 23:03:01.507,1,1,1,"1953471950890455041",1,0.000,0.000,,
"1953471950890455043","1000000000000264871",RQ0101,80.000000,4,2,rq_sjlx_1,,783,2025-08-07 23:03:01.508,783,2025-08-07 23:03:01.508,1,1,1,"1953471950890455041",2,0.000,0.000,,
"1953471735496175618","1000000000000264869",RQ0101,20.000000,2,3,rq_sjlx_1,,783,2025-08-07 23:02:10.153,783,2025-08-07 23:02:10.153,1,1,1,"1953471735496175617",1,0.000,0.000,,
"1953471735496175619","1000000000000264869",RQ0101,50.000000,4,3,rq_sjlx_1,,783,2025-08-07 23:02:10.153,783,2025-08-07 23:02:10.153,1,1,1,"1953471735496175617",2,0.000,0.000,,
"1953472178485981187","1000000000000264873",RQ0101,80.000000,2,1,rq_sjlx_1,,783,2025-08-07 23:03:55.769,783,2025-08-07 23:03:55.769,1,1,1,"1953472178485981186",1,0.000,0.000,,
"1953472178716667906","1000000000000264873",RQ0101,50.000000,2,2,rq_sjlx_1,,783,2025-08-07 23:03:55.824,783,2025-08-07 23:03:55.824,1,1,1,"1953472178716667905",1,0.000,0.000,,
"1953472178716667907","1000000000000264873",RQ0101,80.000000,4,2,rq_sjlx_1,,783,2025-08-07 23:03:55.824,783,2025-08-07 23:03:55.824,1,1,1,"1953472178716667905",2,0.000,0.000,,
"1953472178951548930","1000000000000264873",RQ0101,20.000000,2,3,rq_sjlx_1,,783,2025-08-07 23:03:55.880,783,2025-08-07 23:03:55.880,1,1,1,"1953472178951548929",1,0.000,0.000,,
"1953472178951548931","1000000000000264873",RQ0101,50.000000,4,3,rq_sjlx_1,,783,2025-08-07 23:03:55.880,783,2025-08-07 23:03:55.880,1,1,1,"1953472178951548929",2,0.000,0.000,,
"1953471034565029891","1000000000000264843",RQ0101,50.000000,2,2,rq_sjlx_1,,783,2025-08-07 22:59:23.037,783,2025-08-07 22:59:23.037,1,1,1,"1953471034565029890",1,0.000,0.000,,
"1953471034565029892","1000000000000264843",RQ0101,80.000000,4,2,rq_sjlx_1,,783,2025-08-07 22:59:23.037,783,2025-08-07 22:59:23.037,1,1,1,"1953471034565029890",2,0.000,0.000,,
"1953471034820882434","1000000000000264843",RQ0101,20.000000,2,3,rq_sjlx_1,,783,2025-08-07 22:59:23.098,783,2025-08-07 22:59:23.098,1,1,1,"1953471034820882433",1,0.000,0.000,,
"1953471034820882435","1000000000000264843",RQ0101,50.000000,4,3,rq_sjlx_1,,783,2025-08-07 22:59:23.098,783,2025-08-07 22:59:23.098,1,1,1,"1953471034820882433",2,0.000,0.000,,
"1953471167943897091","1000000000000264844",RQ0101,50.000000,4,3,rq_sjlx_1,,783,2025-08-07 22:59:54.836,783,2025-08-07 22:59:54.836,1,1,1,"1953471167943897089",2,0.000,0.000,,
